Plot_row,Plot_col,Grid_row,Grid_col,Variety,Plot_No,Join_key,20190703,20190713,20190723,20190727,20190802,20190807,20190815,20190912,20190918,20190927,20191004,20191010,20191014,20191022
row-1,1,15,1,DP1646,401,DP1646401,6.45101578,27.48391874,42.6411105,44.58999816,48.3701607,51.69831994,52.20964207,32.42330168,14.62816419,12.87426535,33.98784691,23.41423056,0.079209766,0.018637592
row-1,1,16,1,DP1646,401,DP1646401,6.488037392,24.90914174,42.25712199,44.26132213,52.21420745,54.30058437,58.97877744,44.3009857,24.23990004,23.46479132,41.43841828,21.76411105,0.092554028,0.079209766
row-1,1,17,1,DP1646,401,DP1646401,7.17220599,27.13167459,41.49659864,43.67990439,49.83108108,51.04090577,53.30533236,37.95640705,24.00717044,22.59861213,38.25049882,18.39492554,0.032615786,0.079209766
row-1,1,18,1,DP1646,401,DP1646401,6.636123837,27.05712422,45.82349947,48.69886779,56.25456538,59.92056245,61.65084003,41.21893655,18.76995696,19.99448428,35.19661277,19.94851995,0.16196955,0.074550368
row-1,1,19,1,DP1646,401,DP1646401,5.021056041,24.03783431,42.79738923,45.50310446,53.60208181,56.08564646,58.36833455,51.43690129,33.85732671,25.35392535,49.32885906,36.39224397,0.439631635,0.11648495
row-1,1,20,1,DP1646,401,DP1646401,6.279790828,27.48854644,44.29784514,46.915637,55.09039445,62.29086229,64.94704164,44.16215466,22.71557272,27.29181885,43.89624524,24.31394326,0.078670924,0.172397726
row-1,1,21,1,DP1646,401,DP1646401,5.631912629,27.90047526,42.86633572,45.46658145,50.62089116,51.88913403,53.82121987,41.6909621,29.90899062,28.10718882,37.64244854,22.29273192,0.120320237,0.191035318
row-1,1,22,1,DP1646,401,DP1646401,8.107732889,28.70613624,44.87482068,45.83563155,50.0137893,53.6614317,53.07249817,41.49197094,22.21759452,27.04985391,36.51822964,25.85493657,0.144441338,0.265585686
row-1,1,23,1,DP1646,401,DP1646401,7.594058031,29.18228516,42.49402464,44.56720234,48.66234478,53.84261813,56.75675676,44.19917627,25.46624092,29.7389226,39.01570489,25.13329656,0.083298626,0.037275184
row-1,1,24,1,DP1646,401,DP1646401,8.075338979,28.07626452,42.03341855,43.43629344,48.62582177,53.47425128,54.09970782,40.99680689,22.4628627,25.83546384,37.62017051,27.89578416,0.171224953,0.041934582
row-1,1,25,1,DP1646,401,DP1646401,6.251149108,25.77406643,42.84325975,42.75931337,47.84514244,51.15830116,53.61121256,33.28705632,13.8030888,17.80040175,27.06184406,23.50156279,0.050904716,0.167738328
row-1,1,26,1,DP1646,401,DP1646401,6.117821278,27.21088435,41.54287565,44.50328707,50.13696129,53.38750913,52.86705625,31.90843905,17.68707483,18.70054144,32.16034827,23.23106113,0.107166154,0.041934582
row-1,1,27,1,DP1646,401,DP1646401,6.437132676,25.80406312,41.33035062,43.94465269,48.52994887,55.58794947,56.40978817,46.01786293,29.53861817,30.18626735,41.72410666,17.5806377,0.03239391,0.079209766
row-1,1,28,1,DP1646,401,DP1646401,5.400808972,23.30630882,41.15686633,45.43114543,51.08199416,57.37308254,60.72406866,55.93502707,43.36619001,31.70653762,41.79541462,21.2585034,0.111825552,0.060572174
row-1,1,29,1,DP1646,401,DP1646401,9.084177889,29.00009319,47.84117729,48.53373782,57.10829072,63.78287071,67.42147553,61.52991809,38.91799963,31.60507446,48.41737711,23.03688824,0.069415521,0.102506756
row-1,1,30,1,DP1646,401,DP1646401,5.983617937,27.7979685,46.65648572,46.37965668,55.72715573,63.66417093,69.14718773,46.87861539,23.57970215,22.62364405,36.79693207,15.38885825,0.051604429,0.037275184
row-1,1,31,1,DP1646,401,DP1646401,4.317645426,24.0611313,45.54419284,45.74370289,54.9077794,58.3563155,63.00675676,41.95164552,22.39807488,23.35646457,38.55231746,17.26879941,0.06478782,0.041934582
row-1,1,32,1,DP1646,401,DP1646401,6.609670895,24.94793836,41.88732652,43.87783053,51.40613587,54.74342586,56.25,37.74353279,12.18514433,15.05331862,26.93121931,18.65692223,0.060572174,0.037275184
