Plot row,Plot col,Grid row,Grid col,Plot,20190613,20190621,20190627,20190703,20190710,20190716,20190724,20190801,20190807,20190817,20190823
row-1,1,72,1,FM 2398GLTP,0.257603973,0.301895906,0.268135904,3.040529253,10.43038607,19.59845511,39.34755545,45.60701242,60.93427169,78.9644677,76.69368353
row-1,1,73,1,FM 2398GLTP,0.537037037,0.270171817,0.303030303,3.575749429,9.762491807,20.03894156,37.48733536,46.85663925,64.60485537,80.61675507,75.34571723
row-1,1,74,1,FM 2398GLTP,0.533829919,0.364276607,0.279155188,1.750946458,7.190786804,14.67968974,34.42451335,42.52643948,58.14178719,77.07670736,70.9927841
row-1,1,75,1,FM 2398GLTP,0.431409063,0.195354232,0.238751148,1.929022718,6.610280578,14.04449552,34.90093437,42.61504748,58.88429752,76.08836907,74.80592319
row-1,1,76,1,FM 2398GLTP,0.605474236,0.473123531,0.140428677,2.308797487,8.560906339,17.1725877,35.05262562,39.63572268,58.68081633,73.86204302,68.95796997
row-1,1,77,1,FM 2398GLTP,0.518311608,0.210616282,0.143250689,1.590430686,7.165818795,15.08506496,33.02938197,39.20132325,58.48051948,74.39140487,68.95768834
row-1,1,78,1,FM 2398GLTP,0.343310134,0.327848947,0.22405877,2.204597392,9.818669829,16.49589837,35.40912177,38.84688091,57.06818182,73.63661091,65.30099759
row-1,1,79,1,FM 2398GLTP,0.555538217,0.241516725,0.146923783,2.078826393,7.200149808,14.03811165,31.60812788,40.09694477,59.4025974,75.04759962,70.35431717
row-1,1,80,1,FM 2398GLTP,0.384854128,0.327848947,0.29563932,2.379352063,7.889891077,13.10606786,32.45246718,43.12929145,63.2012987,77.74357922,70.91503268
row-1,1,81,1,FM 2398GLTP,0.415890751,0.262649438,0.262379897,2.542684353,8.832433445,16.56292892,38.6975121,46.74500588,66.75,80.72895417,77.00346021
row-1,1,82,1,FM 2398GLTP,0.409683426,0.296083758,0.059127864,1.546994554,6.039137355,11.22602062,32.22329108,40.0146886,60.77272727,82.21814225,74.83660131
row-1,1,83,1,FM 2398GLTP,0.243438095,0.282314371,0.436067997,3.064928082,12.09700072,20.34217498,41.30642801,49.33235939,68.75968492,85.17611859,79.34749154
row-1,1,84,1,FM 2398GLTP,0.366232154,0.283874119,0.495867769,3.448044092,9.606441747,16.52781768,37.89823258,46.9890431,62.40637913,79.88782873,73.05837694
row-1,1,85,1,FM 2398GLTP,0.571143223,0.297492563,0.473829201,3.239682753,9.007209513,17.02256695,36.64791019,47.73207991,63.02944215,83.93009815,79.00208611
row-1,1,86,1,FM 2398GLTP,0.38795779,0.561643417,0.257116621,3.206076085,9.915420867,18.57065339,38.0079928,46.23971798,60.50490702,76.60476728,73.87684899
