FID,CC210326,CC210407,CC210419,CC210429,CC210505,CC210513,CC210520,CC210527
3819,0,5.16738555,51.13494683,87.31861582,87.76926352,97.29306705,96.7540643,96.85753848
3820,0,8.813474169,57.34003963,88.13534522,87.7957485,96.4653652,96.57937947,96.42953184
3821,0,9.573203607,57.53818016,85.9247066,84.49917898,93.67856536,93.78804547,93.58886384
3822,0.00122537,14.24308891,68.95428432,94.03139765,92.25992824,97.76929797,97.86540535,97.76861019
3823,0,15.16272914,69.23030026,94.37633035,93.36006698,98.42085467,98.0149126,98.09148613
3824,0,13.53605039,68.91815272,95.76893766,94.85495348,98.67262006,98.58592295,98.28627307
3825,0,12.23960886,69.86676445,97.34918458,95.49534756,99.14581766,98.96834128,98.90390648
3826,0,14.30680816,78.18991007,98.38866027,97.03159504,99.21983062,98.92535046,98.90966874
3827,0.00367611,21.95679345,77.73327237,98.99288451,97.78994101,99.28110364,99.14863709,99.10119106
3828,0,23.84018724,82.35790246,98.63374486,97.6178313,99.14157102,99.03257034,99.02884733
3829,0.00122537,30.56440545,86.75506783,99.26962353,98.19335582,99.19738407,99.11685613,99.20534751
3830,0,27.51384668,86.57216888,99.22024082,97.92312838,99.31642644,99.07300755,98.90966874
3831,0,21.46296932,81.46375749,98.55622453,97.6999331,98.89769225,98.63158538,98.7311293
3832,0,21.54384374,79.99817101,98.66178936,97.16809435,98.95168531,99.01480247,99.14252536
3833,0.00122537,24.19186844,83.33485749,98.92699284,97.6573618,99.24409716,98.91089109,98.86040584
3834,0,20.48022253,80.41559712,99.22633745,97.59897829,99.02327162,98.70355847,98.50079452
3835,0,19.67576708,80.75537266,98.71726871,97.26940717,99.12033779,98.82349346,98.49647093
3836,0,21.12415449,79.02088096,98.21808672,96.88621298,98.85219248,98.57366925,98.57107933
3837,0.003063425,17.02712969,76.39408385,97.82411218,97.04068601,98.87281904,98.50262804,98.7354181
3838,0,19.02325752,79.34644109,98.55936595,97.03038171,98.9401587,98.43704049,98.42928737
3839,0,25.11334673,81.72168877,98.10089925,96.76275619,98.65138683,98.40728517,98.48482992
3840,0,18.6433928,80.1540154,98.67542419,96.66058505,99.11816578,98.53690815,98.41889745
3841,0,21.76195961,81.16750495,99.19890261,97.99437016,99.16705089,98.70309253,98.95537202
3842,0,25.32288501,82.71422039,98.84224966,97.49376634,98.92620544,98.40273012,98.57535754
3843,0,22.92973728,84.90465713,99.06050907,97.26631393,98.83399257,98.38833883,98.39415253
3844,0,19.41415057,83.20256059,99.43440978,97.48113276,99.24773714,99.05523968,99.03434788
3845,0.00122537,20.51085678,81.25712544,99.04221917,96.84364167,98.94561868,98.50079452,98.43275169
3846,0,21.06962553,79.43588803,98.40755982,97.02426564,98.89405227,99.04053524,98.98912113
3847,0.000612685,16.47816391,81.46197226,98.64837677,97.12320124,99.10335121,98.79110133,98.55835212
3848,0.00122537,17.95902363,79.69760707,98.80678708,97.4755215,98.85765245,98.62390942,98.64930938
3849,0,18.91297422,81.46620218,98.47706142,96.87040078,98.77514621,98.26243735,98.49892167
3850,0,18.53249681,79.4324036,98.74348422,97.2305807,98.75691784,97.9658857,98.2459357
3851,0.000612685,12.25308793,74.40816949,98.97454656,97.27665268,99.27928365,98.76421429,98.64228997
3852,0.000612685,13.7155671,73.86138614,98.48628596,97.70419023,99.17433085,98.70003667,98.62180663
3853,0,13.61876287,71.27815882,96.70720927,95.23951079,98.3620083,98.34452505,97.8960396
3854,0.00245074,15.81768944,70.64593812,96.27678708,94.60743173,99.0469315,98.33822271,97.81078108
3855,0,15.80666111,75.62706271,98.61301631,96.79133978,99.11002451,98.12702186,98.56999314
3856,0,14.857612,76.19509221,98.27768655,95.9808537,99.03904487,98.27038259,98.32661044
3857,0.000612685,16.35746495,76.92851699,98.30757506,95.72705711,98.58162052,98.35800412,98.16868444
3858,0.000612685,13.29526517,63.20009779,88.49992379,87.00237183,93.22538766,93.55885589,93.29544066
3859,0.00122537,9.462920302,55.30315501,82.56546258,84.14788032,93.30668058,93.13670228,92.83097245
3860,0,3.990417606,36.26032617,71.12023353,83.39658213,94.24740011,94.2672045,94.24825816
3861,0,2.646186648,32.4868598,65.91921963,76.39299398,95.52282268,95.6327811,95.24127537
3862,0,2.655989609,24.3773815,49.00960219,59.00531437,84.08418064,89.10463269,88.74465224
3863,0,0.726644447,13.84484073,30.57399787,39.27081433,66.08386518,69.61020978,69.62859033
3864,0,0.432555632,15.07150715,41.95523931,48.40114334,65.73200029,73.98300941,74.81664833
3865,0,1.471056759,28.88522186,59.05868008,64.30909922,82.9400131,88.59990855,87.90611187
3866,0,0.877364964,20.07094893,50.45938119,55.69821674,79.67130967,85.82569368,86.2675712
3867,0,2.264483874,29.90160127,71.36412132,73.71100164,92.55866437,93.75217193,94.06980643
3868,0,6.053328105,48.83877277,89.87228608,89.72473708,97.25848722,97.14154749,97.08287495
3869,0,6.361508676,48.74522106,91.93842402,91.07879896,97.69750046,97.99908551,98.08504801
3870,0,9.32139006,55.56900134,91.66346594,91.31423706,97.00247519,97.81933749,97.75944261
3871,0,13.41412607,61.81518152,93.67047706,92.89254687,97.3488801,97.41197988,97.78875171
3872,0.00612685,14.48571219,66.50205862,96.53895275,94.16979119,97.41561309,97.94096076,97.99535509
3873,0.001838055,12.91662582,62.91223567,91.36838897,90.15690567,95.4475964,96.01280293,96.01219326
3874,0,8.712381139,51.31524264,79.9189148,81.43392775,91.53582955,95.11551155,95.21757731
3875,0,7.105920988,50.14214293,85.28334095,84.3938424,93.96005727,96.65051059,96.42737388
3876,0.00122537,5.451671405,47.15988265,80.00486529,79.55360944,90.97163241,94.47133602,94.54528786
3877,0,7.472306637,45.83791713,77.02057613,76.07803688,88.15610668,94.36976071,93.70217955
3878,0,6.814895598,51.97345848,86.23380582,86.09602195,94.94527894,96.62571813,95.915536
3879,0.001838055,5.040559749,44.56545655,82.69410151,81.78981938,91.08678465,93.46014327,93.28029264
3880,0,6.65314675,45.26891578,80.68843885,80.72915714,92.61872407,95.87397629,95.52805281
3881,0.00367611,9.003406529,48.96701304,83.09343088,85.80643195,94.29372225,96.67123914,95.83904893
3882,0,7.333227135,52.41229679,89.50708733,89.61868272,96.17983936,97.55164405,96.55237746
3883,0,6.696647388,47.73560689,83.76345069,82.35147081,93.76531826,97.0376467,97.15165371
3884,0,3.701842957,42.28752083,86.35285532,84.69440634,94.50362785,96.00293363,95.95892923
3885,0,3.334231938,40.74318543,82.76665143,83.04384845,92.38697857,94.81054717,93.96250572
3886,0,4.872684051,51.57682435,87.92927907,87.59213535,94.97803878,96.51570713,96.56093387
