Plot row,Plot col,Grid row,Grid col,Variety,Plot No,Join key,20190703,20190713,20190723,20190727,20190802,20190807,20190815,20190912,20190918,20190927,20191004,20191010,20191014,20191022
row-1,1,12,1,DP1646,401,DP1646401,6.196492202323106,25.665232079226246,44.323405037690748,47.164901387874359,52.606829802775742,57.948319941563184,58.811176040905764,39.071683095006712,16.974408811143505,18.868358154072439,38.499909305278436,20.644176037762044,0.087926326993382,0.055912776069332
row-1,1,13,1,DP1646,401,DP1646401,5.570876999448428,24.211859635954212,41.850523993381131,44.333379610347542,49.411066471877284,54.922779922779917,57.820489408327248,34.878985607848584,15.627747697718544,19.718698290126863,40.581353165245780,20.570132815030775,0.088528562109775,0.111825552138664
row-1,1,14,1,DP1646,401,DP1646401,4.798926373270397,23.520641133165597,41.753998896856039,43.065193571950324,47.081264938407799,51.953981008035065,52.223338203067939,31.773797954555970,10.926003054282937,14.422023374726079,34.346091057500452,18.622169466764060,0.120320236938313,0.013978194017333
row-1,1,15,1,DP1646,401,DP1646401,6.451015780461844,27.483918737563052,42.641110498253354,44.589998161426728,48.370160701241780,51.698319941563184,52.209642074506931,32.423301680058437,14.628164190846407,12.874265352399464,33.987846907309994,23.414230557087702,0.079209766098220,0.018637592023111
row-1,1,16,1,DP1646,401,DP1646401,6.488037391827479,24.909141738887335,42.257121986851715,44.261322132943754,52.214207450693941,54.300584368151938,58.978777435153276,44.300985700402613,24.239900041649314,23.464791321934179,41.438418284055864,21.764111049825335,0.092554028414087,0.079209766098220
row-1,1,17,1,DP1646,401,DP1646401,7.172205989773557,27.131674587643278,41.496598639455783,43.679904394190110,49.831081081081081,51.040905770635504,53.305332359386412,37.956407052616967,24.007170435741866,22.598612125639153,38.250498820968623,18.394925537782679,0.032615786040444,0.079209766098220
row-1,1,18,1,DP1646,401,DP1646401,6.636123837290018,27.057124219550833,45.823499467814337,48.698867786705627,56.254565376186996,59.920562454346239,61.650840029218415,41.218936554213521,18.769956962376789,19.994484280198566,35.196612765190757,19.948519948519948,0.161969549724652,0.074550368092442
row-1,1,19,1,DP1646,401,DP1646401,5.021056041464204,24.037834311806915,42.797389225960650,45.503104455807161,53.602081811541268,56.085646457268076,58.368334550766988,51.436901291128699,33.857326714469572,25.353925353925355,49.328859060402685,36.392243972418896,0.439631634966912,0.116484950144441
row-1,1,20,1,DP1646,401,DP1646401,6.279790827895784,27.488546438983757,44.297845142439733,46.915637003100557,55.090394448502558,62.290862290862293,64.947041636230836,44.162154657781478,22.715572715572716,27.291818845872900,43.896245238527115,24.313943264380583,0.078670924151974,0.172397726213773
row-1,1,21,1,DP1646,401,DP1646401,5.631912628997178,27.900475258596590,42.866335723478585,45.466581446311174,50.620891161431700,51.889134031991176,53.821219868517169,41.690962099125365,29.908990623276338,28.107188821474537,37.642448538354131,22.292731921110299,0.120320236938313,0.191035318236884
